hidden_layers,activation,learning_rate,dropout_rate,weight_decay,mae,rmse,r2,result_dir
[32],tanh,0.01,0.0,0.0,inf,inf,-inf,
[32],tanh,0.01,0.0,0.001,inf,inf,-inf,
[32],tanh,0.01,0.1,0.0,inf,inf,-inf,
[32],tanh,0.01,0.1,0.001,inf,inf,-inf,
"[64, 32]",tanh,0.01,0.0,0.0,inf,inf,-inf,
"[64, 32]",tanh,0.01,0.0,0.001,inf,inf,-inf,
"[64, 32]",tanh,0.01,0.1,0.0,inf,inf,-inf,
"[64, 32]",tanh,0.01,0.1,0.001,inf,inf,-inf,
"[32, 16, 8]",tanh,0.01,0.0,0.0,inf,inf,-inf,
"[32, 16, 8]",tanh,0.01,0.0,0.001,inf,inf,-inf,
"[32, 16, 8]",tanh,0.01,0.1,0.0,inf,inf,-inf,
"[32, 16, 8]",tanh,0.01,0.1,0.001,inf,inf,-inf,
